url,title,filepath,chunks,content_length
https://outerspace.stsci.edu/spaces/MASTDOCS/overview,MAST Document Guide,scraped_docs/spaces/MASTDOCS/overview.md,6,4797
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/94963058/Archive+Support,HelpDesk,scraped_docs/spaces/MASTDOCS/pages/94963058/Archive_Support.md,5,3788
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/286852358/MAST+Pro+Tips,MAST Document,scraped_docs/spaces/MASTDOCS/pages/286852358/MAST_Pro_Tips.md,1,714
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/94962825/Portal+Guide,Search the MAST Portal Guide,scraped_docs/spaces/MASTDOCS/pages/94962825/Portal_Guide.md,5,5206
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/113771318/JWST+Archive+Manual,Table of Contents,scraped_docs/spaces/MASTDOCS/pages/113771318/JWST_Archive_Manual.md,5,4706
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/104958260/Mission+Search+Guide,Table of Contents,scraped_docs/spaces/MASTDOCS/pages/104958260/Mission_Search_Guide.md,7,2626
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/97290399/HLSP+Contributor+Guide,Table of Contents,scraped_docs/spaces/MASTDOCS/pages/97290399/HLSP_Contributor_Guide.md,4,3690
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/150113039/Jdaviz+Guide,Search This Guide,scraped_docs/spaces/MASTDOCS/pages/150113039/Jdaviz_Guide.md,5,3151
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/183797522/Cloud+Services+Manual,Search This Manual,scraped_docs/spaces/MASTDOCS/pages/183797522/Cloud_Services_Manual.md,5,2755
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/94962868/Program+Subscriptions+and+Notifications,Creating Subscriptions,scraped_docs/spaces/MASTDOCS/pages/94962868/Program_Subscriptions_and_Notifications.md,6,11440
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/94962885/Searching,Collections and Metadata,scraped_docs/spaces/MASTDOCS/pages/94962885/Searching.md,2,1716
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/94962886/Basic+Search,Selecting Collections,scraped_docs/spaces/MASTDOCS/pages/94962886/Basic_Search.md,9,8032
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/113771335/Engineering+Data,Engineering Database Contents,scraped_docs/spaces/MASTDOCS/pages/113771335/Engineering_Data.md,4,3783
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/113771353/Using+the+MAST+Portal,Important Things to Know,scraped_docs/spaces/MASTDOCS/pages/113771353/Using_the_MAST_Portal.md,2,1564
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/261164035/Duplication+Checking+for+Proposals,Tools for Identifying Duplicate Observations,scraped_docs/spaces/MASTDOCS/pages/261164035/Duplication_Checking_for_Proposals.md,12,22233
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/113771441/Special+Topics,Create DOIs for Data You Publish,scraped_docs/spaces/MASTDOCS/pages/113771441/Special_Topics.md,7,4688
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/339050892/JWST+Commissioning+Data+Highlights,Caveats,scraped_docs/spaces/MASTDOCS/pages/339050892/JWST_Commissioning_Data_Highlights.md,4,11345
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/214205149/Publication+Timeline,Preparing Your HLSP Collection,scraped_docs/spaces/MASTDOCS/pages/214205149/Publication_Timeline.md,15,6791
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/97290403/Required+Contents,MAST Document,scraped_docs/spaces/MASTDOCS/pages/97290403/Required_Contents.md,1,1282
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/97290404/Collection+Contents,Required Files,scraped_docs/spaces/MASTDOCS/pages/97290404/Collection_Contents.md,5,3224
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/150113084/Viewing+Spectra,Jdaviz Display Panel,scraped_docs/spaces/MASTDOCS/pages/150113084/Viewing_Spectra.md,9,8641
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/183797523/Cloud+Science+Platforms,"What are ""Cloud Science Platforms""?",scraped_docs/spaces/MASTDOCS/pages/183797523/Cloud_Science_Platforms.md,7,4441
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/183797545/Public+AWS+Data,AWS Open Data Program,scraped_docs/spaces/MASTDOCS/pages/183797545/Public_AWS_Data.md,7,3934
https://outerspace.stsci.edu/spaces/MASTDOCS/pages/113771354/Data+Search,Context,scraped_docs/spaces/MASTDOCS/pages/113771354/Data_Search.md,9,12774
